system,specification_title,specification_title_value
https://www.flipkart.com/viewsonic-va-series-60-45-cm-23-8-inch-full-hd-led-backlit-panel-white-colour-frameless-monitor-va2430-h-w-6/p/itm0a477b0605992?pid=MONG6FF9HHY2UHZY&lid=LSTMONG6FF9HHY2UHZY4RBLM2&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_353&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG6FF9HHY2UHZY.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Model Name,VA2430-H-W-6
https://www.flipkart.com/viewsonic-va-series-60-45-cm-23-8-inch-full-hd-led-backlit-panel-white-colour-frameless-monitor-va2430-h-w-6/p/itm0a477b0605992?pid=MONG6FF9HHY2UHZY&lid=LSTMONG6FF9HHY2UHZY4RBLM2&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_353&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG6FF9HHY2UHZY.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Series,VA Series
https://www.flipkart.com/viewsonic-va-series-60-45-cm-23-8-inch-full-hd-led-backlit-panel-white-colour-frameless-monitor-va2430-h-w-6/p/itm0a477b0605992?pid=MONG6FF9HHY2UHZY&lid=LSTMONG6FF9HHY2UHZY4RBLM2&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_353&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG6FF9HHY2UHZY.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Color,White
https://www.flipkart.com/viewsonic-va-series-60-45-cm-23-8-inch-full-hd-led-backlit-panel-white-colour-frameless-monitor-va2430-h-w-6/p/itm0a477b0605992?pid=MONG6FF9HHY2UHZY&lid=LSTMONG6FF9HHY2UHZY4RBLM2&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_353&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG6FF9HHY2UHZY.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Display,60.45 cm (23.8 inch) LCD Display
https://www.flipkart.com/viewsonic-va-series-60-45-cm-23-8-inch-full-hd-led-backlit-panel-white-colour-frameless-monitor-va2430-h-w-6/p/itm0a477b0605992?pid=MONG6FF9HHY2UHZY&lid=LSTMONG6FF9HHY2UHZY4RBLM2&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_353&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG6FF9HHY2UHZY.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Backlight,LED Backlit Backlight
https://www.flipkart.com/viewsonic-va-series-60-45-cm-23-8-inch-full-hd-led-backlit-panel-white-colour-frameless-monitor-va2430-h-w-6/p/itm0a477b0605992?pid=MONG6FF9HHY2UHZY&lid=LSTMONG6FF9HHY2UHZY4RBLM2&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_353&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG6FF9HHY2UHZY.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Panel Type,VA Panel
https://www.flipkart.com/viewsonic-va-series-60-45-cm-23-8-inch-full-hd-led-backlit-panel-white-colour-frameless-monitor-va2430-h-w-6/p/itm0a477b0605992?pid=MONG6FF9HHY2UHZY&lid=LSTMONG6FF9HHY2UHZY4RBLM2&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_353&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG6FF9HHY2UHZY.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Resolution,1920 x 1080 pixels
https://www.flipkart.com/viewsonic-va-series-60-45-cm-23-8-inch-full-hd-led-backlit-panel-white-colour-frameless-monitor-va2430-h-w-6/p/itm0a477b0605992?pid=MONG6FF9HHY2UHZY&lid=LSTMONG6FF9HHY2UHZY4RBLM2&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_353&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG6FF9HHY2UHZY.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Screen Resolution Type,Full HD
https://www.flipkart.com/viewsonic-va-series-60-45-cm-23-8-inch-full-hd-led-backlit-panel-white-colour-frameless-monitor-va2430-h-w-6/p/itm0a477b0605992?pid=MONG6FF9HHY2UHZY&lid=LSTMONG6FF9HHY2UHZY4RBLM2&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_353&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG6FF9HHY2UHZY.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Sales Package,"1 Monitor, HDMI Cable, AC/DC Adapter, Quick Start Guide, Power plug"
https://www.flipkart.com/viewsonic-va-series-60-45-cm-23-8-inch-full-hd-led-backlit-panel-white-colour-frameless-monitor-va2430-h-w-6/p/itm0a477b0605992?pid=MONG6FF9HHY2UHZY&lid=LSTMONG6FF9HHY2UHZY4RBLM2&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_353&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG6FF9HHY2UHZY.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Screen Form Factor,Flat
