code,description,abc_class,description1,description2,description3,apn,group_code,brand,condition_code,default_conversion_factor,issue_ctrl,stk_licences_rebate_flag,pack_weight,title,stock_status,sales_type,user_only_alpha20_1,user_only_alpha20_2,user_only_alpha4_1,user_only_alpha4_2,user_only_alpha4_3,user_only_alpha4_4,user_only_date1,user_only_date2,user_only_num1,user_only_num2,user_only_num3,user_only_num4,pronto_user_group,pronto_user_group_1,saleability,visibility,uom,pack_size,updated_at,created_at,prices,notes,alternative_products,companion_products,inventory_quantities,uoms,categories
1074,KERSHAW CAMP 18,,KERSHAW CAMP 18,,,ZZDELETED,KER,KNIV,,1,,,0.0,,X,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,12:17 01-Feb-2017,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '89.815', 'ex_tax': '81.65', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '89.815', 'ex_tax': '81.65'}}",,,,"{'warehouse': '1', 'quantity': '0.0'}{'warehouse': '9', 'quantity': '0.0'}{'warehouse': '1SRO', 'quantity': '0.0'}","{'code': 'CTN', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '999999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",KNIV|knives|100_0|KER|KER
SW2023CAT,SKYWATCHER 2023 CATALOGUE,,SKYWATCHER 2023 CATALOGUE,,,,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,13:20 12-Oct-2023,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '11.0', 'ex_tax': '10.0', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '11.0', 'ex_tax': '10.0'}}",,{'code': 'SW2023CATGLOSS'},,"{'warehouse': '1', 'quantity': '494.0'}{'warehouse': '1SL', 'quantity': '5.0'}","{'code': 'CTN', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '999999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",100_0|SKY|SKY|SKYWATCHER
SWA-EQ2RADRIVE,Motor Drive for EQ2 Mount,,Motor Drive for EQ2 Mount,,,9334046004861,SKY,SKYWATCHER,O,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,15:45 23-Jan-2015,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '122.012', 'ex_tax': '110.92', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '122.012', 'ex_tax': '110.92'}}",,,,"{'warehouse': '1', 'quantity': '9.0'}{'warehouse': '1A', 'quantity': '0.0'}","{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '99999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",200_0|drives|SKY|SKY|end-of-line-clearance|SKYWATCHER
SWA-SUNR150,Solar Filter 150mm for Refractor,,Solar Filter 150mm for,Refractor,,9334046006858,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,10:35 15-May-2015,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '26.18', 'ex_tax': '23.8', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '26.18', 'ex_tax': '23.8'}}","{'type': '**', 'note': 'skywatcher'}",,,"{'warehouse': '1', 'quantity': '7.0'}{'warehouse': 'DO', 'quantity': '0.0'}","{'code': 'CTN', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '999999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",100_0|SKY|SKY|solar|SKYWATCHER
SWA-SHROUD18,Cloth Shroud for 18\Collapsible Dobsonian,,Cloth Shroud for 18\,Collapsible Dobsonian,,9334046002188,SKY,SKYWATCHER,O,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,12:26 20-Mar-2015,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '129.404', 'ex_tax': '117.64', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '129.404', 'ex_tax': '117.64'}}","{'type': '**', 'note': 'skywatcher'}",,,"{'warehouse': '1', 'quantity': '4.0'}{'warehouse': 'RAWO', 'quantity': '0.0'}{'warehouse': '4', 'quantity': '0.0'}{'warehouse': '1SER', 'quantity': '0.0'}","{'code': 'CTN', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '999999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",200_0|dobacc|dob-acc|Accessories|SKY|SKY|end-of-line-clearance|SKYWATCHER
SWA-BDFF150ED,0.85x Reducer / Flattener for Evostar 150ED,,0.85x Reducer / Flattener for,Evostar 150ED,,9334046009781,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,08:28 13-Oct-2017,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '379.654', 'ex_tax': '345.14', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '379.654', 'ex_tax': '345.14'}}","{'type': '**', 'note': 'reducer/flattener skywatcher'}",,,"{'warehouse': '1', 'quantity': '3.0'}{'warehouse': '4', 'quantity': '1.0'}{'warehouse': '1SER', 'quantity': '0.0'}","{'code': 'CTN', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '999999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",500_0|bded|photooptics|SKY|SKY|SKYWATCHER
SWEIGHT1.7,"1.7kg Counterweight for EQ3 EQ5, White",,1.7kg Counterweight for EQ3,"EQ5, White",,,SKY,SKYWATCHER,O,1,,,0.0,,S,C2,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,09:25 28-Nov-2014,"{'debtor': '210326', 'breaks': [{'price_rule': '23', 'currency_code': '', 'inc_tax': '23.6632', 'ex_tax': '21.512', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '29.579', 'ex_tax': '26.89'}}","{'type': '**', 'note': '4.03.009.0075 5.05.001.0010'}",,,"{'warehouse': '1', 'quantity': '2.0'}","{'code': 'CTN', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '999999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",telescope-accessories|100_0|cntr-weight|skywatcher|SKY|SKY|end-of-line-clearance|SKYWATCHER
SWA-POLAR-NEQ6,Polar Scope for EQ5 NEQ6,,Polar Scope for EQ5 NEQ6,,,9334046002119,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,15:45 23-Jan-2015,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '54.835', 'ex_tax': '49.85', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '54.835', 'ex_tax': '49.85'}}","{'type': '**', 'note': 'skywatcher SWPOLAR-6'}",,,"{'warehouse': '1', 'quantity': '3.0'}{'warehouse': '1A', 'quantity': '0.0'}{'warehouse': '1EC', 'quantity': '0.0'}","{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '99999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",100_0|Polar-and-Finderscopes|skywatcher|SKY|SKY|SKYWATCHER
SWA-POLAR-EQ8,Polar Scope for EQ8,,Polar Scope for EQ8,,,9334046008371,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,15:45 23-Jan-2015,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '242.913', 'ex_tax': '220.83', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '242.913', 'ex_tax': '220.83'}}","{'type': '**', 'note': 'skywatcher'}",,,"{'warehouse': '1', 'quantity': '6.0'}{'warehouse': '1A', 'quantity': '0.0'}{'warehouse': '1SER', 'quantity': '0.0'}{'warehouse': '1EC', 'quantity': '0.0'}","{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '99999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",300_0|eq8|Polar-and-Finderscopes|SKY|SKY|SKYWATCHER
SWA-CASEED120,Aluminium Case for Evostar 120ED,,Aluminium Case for Evostar,120ED,,9334046006841,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,15:45 23-Jan-2015,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '218.9', 'ex_tax': '199.0', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '218.9', 'ex_tax': '199.0'}}","{'type': '**', 'note': 'ed120 skywatcher'}",,,"{'warehouse': '1', 'quantity': '2.0'}{'warehouse': '1A', 'quantity': '0.0'}{'warehouse': 'DO', 'quantity': '0.0'}{'warehouse': '1EC', 'quantity': '0.0'}","{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '99999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",200_0|cases|SKY|SKY|SKYWATCHER
